 eta,F,F_prime,F_double_prime
   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   1.2325820922851562     
   4.8000000000000001E-002 ,   1.4015106769375077E-003 ,   5.8012271772902892E-002 ,   1.1846095545898718     
   9.6000000000000002E-002 ,   5.5323927482988366E-003 ,  0.11372509304817147      ,   1.1367975274768487     
  0.14400000000000002      ,   1.2282515903623857E-002 ,  0.16714979392765855      ,   1.0892950205884329     
  0.19200000000000000      ,   2.1542460639991868E-002 ,  0.21830456443152635      ,   1.0422389324804338     
  0.23999999999999999      ,   3.3203833765378610E-002 ,  0.26721388433321824      ,  0.99575451334245135     
  0.28799999999999998      ,   4.7159557061401042E-002 ,  0.31390797485089716      ,  0.94995581334625379     
  0.33599999999999997      ,   6.3304130138858328E-002 ,  0.35842227155829498      ,  0.90494611877246622     
  0.38399999999999995      ,   8.1533868491265898E-002 ,  0.40079691797432410      ,  0.86081837778950743     
  0.43199999999999994      ,  0.10174711772769213      ,  0.44107627937490895      ,  0.81765561752085392     
  0.47999999999999993      ,  0.12384444494609589      ,  0.47930847644392166      ,  0.77553135382819038     
  0.52799999999999991      ,  0.14772880819154421      ,  0.51554493844407423      ,  0.73450999505129988     
  0.57599999999999996      ,  0.17330570492973316      ,  0.54983997564402409      ,  0.69464724077452666     
  0.62400000000000000      ,  0.20048330045474533      ,  0.58225037078542252      ,  0.65599047652941977     
  0.67200000000000004      ,  0.22917253714058469      ,  0.61283498941359693      ,  0.61857916518996059     
  0.72000000000000008      ,  0.25928722543838068      ,  0.64165440892827919      ,  0.58244523566782391     
  0.76800000000000013      ,  0.29074411751490470      ,  0.66877056623642406      ,  0.54761346936855237     
  0.81600000000000017      ,  0.32346296442285505      ,  0.69424642390779667      ,  0.51410188472427443     
  0.86400000000000021      ,  0.35736655768890713      ,  0.71814565474568770      ,  0.48192211997434170     
  0.91200000000000025      ,  0.39238075620146146      ,  0.74053234468990836      ,  0.45107981422227711     
  0.96000000000000030      ,  0.42843449927602339      ,  0.76147071396718358      ,  0.42157498665654997     
   1.0080000000000002      ,  0.46545980677189164      ,  0.78102485639534946      ,  0.39340241368517553     
   1.0560000000000003      ,  0.50339176712900013      ,  0.79925849673255489      ,  0.36655200360158530     
   1.1040000000000003      ,  0.54216851418804657      ,  0.81623476594125421      ,  0.34100916827346078     
   1.1520000000000004      ,  0.58173119365015857      ,  0.83201599420953620      ,  0.31675519122925072     
   1.2000000000000004      ,  0.62202392002402784      ,  0.84666352153972169      ,  0.29376759141091202     
   1.2480000000000004      ,  0.66299372489844133      ,  0.86023752567675849      ,  0.27202048176800014     
   1.2960000000000005      ,  0.70459049736623558      ,  0.87279686710739268      ,  0.25148492178940757     
   1.3440000000000005      ,  0.74676691741172307      ,  0.88439895081614872      ,  0.23212926300642142     
   1.3920000000000006      ,  0.78947838305743390      ,  0.89509960443661052      ,  0.21391948645567130     
   1.4400000000000006      ,  0.83268293204748944      ,  0.90495297238723515      ,  0.19681953106395075     
   1.4880000000000007      ,  0.87634115882400487      ,  0.91401142553084835      ,  0.18079161190943177     
   1.5360000000000007      ,  0.92041612752959634      ,  0.92232548584699636      ,  0.16579652732564953     
   1.5840000000000007      ,  0.96487328174336762      ,  0.92994376555738167      ,  0.15179395384560063     
   1.6320000000000008      ,   1.0096803516297450      ,  0.93691292009759830      ,  0.13874272803273646     
   1.6800000000000008      ,   1.0548072591493280      ,  0.94327761428416412      ,  0.12660111431251359     
   1.7280000000000009      ,   1.1002260219486866      ,  0.94908050098523400      ,  0.11532705800108085     
   1.7760000000000009      ,   1.1459106565119468      ,  0.95436221156709233      ,  0.10487842282490524     
   1.8240000000000010      ,   1.1918370811212959      ,  0.95916135735721042      ,   9.5213212334649661E-002
   1.8720000000000010      ,   1.2379830191364540      ,  0.96351454133884573      ,   8.6289774736178326E-002
   1.9200000000000010      ,   1.2843279030649748      ,  0.96745637927228767      ,   7.8066990788773744E-002
   1.9680000000000011      ,   1.3308527798562522      ,  0.97101952942421632      ,   7.0504444553005197E-002
   2.0160000000000009      ,   1.3775402178126206      ,  0.97423473007943506      ,   6.3562576905653728E-002
   2.0640000000000009      ,   1.4243742154712575      ,  0.97713084400851657      ,   5.7202821874167746E-002
   2.1120000000000010      ,   1.4713401127710390      ,  0.97973490907062188      ,   5.1387725975876410E-002
   2.1600000000000010      ,   1.5184245047793674      ,  0.98207219414274138      ,   4.6081050875349125E-002
   2.2080000000000011      ,   1.5656151582155755      ,  0.98416625958459525      ,   4.1247859794771712E-002
   2.2560000000000011      ,   1.6129009309701059      ,  0.98603902147205291      ,   3.6854588225156935E-002
   2.3040000000000012      ,   1.6602716947825065      ,  0.98771081886073664      ,   3.2869099589023315E-002
   2.3520000000000012      ,   1.7077182612066342      ,  0.98920048337494748      ,   2.9260726596551104E-002
   2.4000000000000012      ,   1.7552323109585084      ,  0.99052541045461073      ,   2.6000299116144751E-002
